"E,26.8412912,80.8775148",1
"Thiinn,13.12211631661949,80.0757301401101",6
"d,26.8984489,75.7371167",1
"dvika royal lawn agari,21.1576225,79.0774222",22
"dvika royal lawn dighori agari,21.1576225,79.0774222",30
"maharani bagh h5,28.5714222,77.2008135",16
"nayarna hospital gura,28.6075951,76.9912612",21
"police line Ambeerpet,17.437630891354903,78.4887732937932",21
"ranchi honda so,23.3731657,85.3240838",15
"ranchi honda so roo,23.3731657,85.3240838",19
"ranchi honda so room h,23.3731657,85.3240838",22
"ranchi honda so room harmu,23.3731657,85.3240838",26
"ranchi honda so room hrmu,23.3731657,85.3240838",25
"s n,22.5674131,88.2716726",3
"sachivalaya colony  en,26.8058838,80.9948041",22
"sachivalaya colony  janki,26.8058838,80.9948041",25
"swastik medical opposite,23.245890140533447,77.44269132614136",24
"swati pg maruti mandir,12.96049,77.57128",22
"#45 near manjunath fast Acharya Dr Sarvepalli Radhakrishnan Rd, Thammenahalli Village, Bengaluru, Karnataka 560090, India,13.0771169,77.4969641",121
"#52 BYRA,13.0224318,77.5172315",8
"#52 Byr,13.0224318,77.5172315",7
"#52 Byraveswar nagar,13.0224318,77.5172315",20
"#9, bashyam nagar, 2nd street,12.97218,80.18789",29
"#9, bashyam nagar, 2nd street, chromp,12.97218,80.18789",37
", 20th D Cross Rd, B Block, CQAL Layout, Sahakar Nagar, Jalahalli East, Bengaluru, Karnataka 560092, India,13.063731,77.5813487",106
", Sector 1, Thaltej, Ahmedabad, Gujarat 380058, India,23.0624944,72.4605218",53
",R75F+QX7, Badharghat, Agartala, Tripura 799003, India,23.810635138891424,91.27468798309565",54
"00=00=00bm,28.773325342746386,76.76952628356983",10
"03/58 valluvarsalai ramapuram 600089,13.0349793,80.1837586",36
"1 rood,19.0200865,72.8703788",6
"1-32 Gachibowli,17.3900247,78.5106163",15
"100 asur,22.6412083,88.3778885",8
"100 ft road se,24.5942225,73.7545444",14
"100 ft road sector 1,24.5942225,73.7545444",20
"101 Lahari estate,17.505399,78.3868513",17
"101 Lahari estates moos,17.505399,78.3868513",23
"106, Paddy Field Road, Chinnaiyan Colony, Perambur, Chennai, Tamil Nadu 600039, India,13.1128943,80.2496729",85
"10A sri balaji,18.9777231,72.8306435",14
"10th,28.6731263,77.3734273",4
"10th avenue,28.6732347,77.3724293",11
"10th avenue,gaur city 1,28.6735136,77.3712426",23
"11-15-265 Road,17.41098272182506,78.4550726011049",14
"11-15-265 Road N,17.41098272182506,78.4550726011049",16
"11-15-265 Road No 2  Kranthi,17.41098272182506,78.4550726011049",28
"11-15-265 Road No 2  Kranthi Nagar C,17.41098272182506,78.4550726011049",36
"11.varadarajan street.Thiru,13.1421727,80.1093004",27
"113/97 Sea,26.936028209597197,75.74053280270117",10
"113/97 Sector,26.936028209597197,75.74053280270117",13
"1150 sector,28.694782,77.0680648",11
"1163/6 maruti villagw,20.2539421,85.8046117",21
"11a Bl,28.4134,77.06899",6
"11b corporation colony gnanaolivupuram,9.9825068,78.144942",38
"11th,12.9613,80.18403",4
"11th Str,12.9613,80.18403",8
"11th cross ganapathi p,12.9820867,77.5633489",22
"12/3krishnamachari agar s,13.04454,80.13142",25
"12/3krishnamachari agar six,13.04454,80.13142",27
"12/3krishnamachari agar sixth street valasarawalks,13.04454,80.13142",50
"1201, sector 15-B, Chandigarh.,30.7050076,76.7735985",30
"129 Pla,13.0947655,80.2893082",7
"129 Plaza ce,13.0947655,80.2893082",12
"129 Plaza centre, GN,13.0947655,80.2893082",20
"136, scheme no 54, Vijay Nagar, Bulandshahr, Madhya Pradesh 452001,22.7556646,75.8952188",66
"1372, 28th St near Reliance Fresh Kambar Colony I Block Anna Nagar Chennai Tamil Nadu India,13.0383417,80.1434049",91
"14/1,murugesan street,kond,13.09055,80.26803",26
"15 secror,28.43277,77.04143",9
"152 Nit G,21.149768595448467,79.13125086575747",9
"152 Sata,21.149768595448467,79.13125086575747",8
"152 Satnam,21.149768595448467,79.13125086575747",10
"152 St,21.149768595448467,79.13125086575747",6
"152 Sta,21.149768595448467,79.13125086575747",7
"15nit,21.149768595448467,79.13125086575747",5
"16, Sugunapuram East, Sri Krishna college of enKuniyamuthur, Tamil Nadu 641008, India,10.9343208,76.9530119",85
"16th cross road, srinivasnagar, he,12.8886792,77.5639113",34
"17 th cross,12.9831401,77.5417281",11
"17 th cross BR,12.9831401,77.5417281",14
"17-237 sirlla hills,17.3271117,78.5569384",19
"17/1 E3 enclave sha,23.2614965,77.3887798",19
"17/20, 1st B Main Rd, Vivekananda Nagar, Banashankari, Bengaluru, Karnataka 560085, India,12.9338108,77.5547739",89
"170A, Pande L,18.60259,73.76741",13
"172 officers campus extension near san,26.93838,75.73852",38
"172 officers campus extension near sanskar school,26.93838,75.73852",49
"1778 East PSector 123,28.5095429,77.072922",21
"18/24, Venkatacha,13.03823,80.2552",17
"18/59 C Block Ind,26.87692255064744,80.98046857281079",17
"18/59 C Block Indi,26.87692255064744,80.98046857281079",18
"18/59 Hanum,26.87692255064744,80.98046857281079",11
"180/1 Krishna Nagar,23.2562493,72.6392213",19
"180/1 Krishna Nagar se,23.2562493,72.6392213",22
"180/1 k,23.2562493,72.6392213",7
"182 3rd main road,13.0134524,77.6970611",17
"183 bairathi nagar,26.8432075,75.5626869",18
"183 bararthi naga,26.8432075,75.5626869",17
"183 bararthi nagar,26.8432075,75.5626869",18
"183 barathi nagar gay,26.8432075,75.5626869",21
"19,thirpatchi street aya,13.0966573,80.2306868",24
"19,thirpatchi street ayanav,13.0966573,80.2306868",27
"19/2 Jawahar,12.9938219,80.1911635",12
"19/2 Jawahar Street annaji,12.9938219,80.1911635",26
"196 Guru,31.306538792771835,75.5869220832139",8
"198 kakbadevi road,18.93963928447857,72.82765936106443",18
