,index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price,location,color
0,0,alfa-romero,,88.6,168.8,dohc,four,111,21,13495.0,pune,black
1,1,alfa-romero,convertible,88.6,168.8,dohc,four,111,21,16500.0,pune,black
2,2,alfa-romero,hatchback,94.5,171.2,ohcv,six,154,19,16500.0,pune,black
3,3,audi,sedan,99.8,176.6,ohc,four,102,24,13950.0,pune,black
4,4,audi,sedan,99.4,176.6,ohc,five,115,18,17450.0,pune,black
5,5,audi,sedan,99.8,177.3,ohc,five,110,19,15250.0,pune,black
6,6,audi,wagon,105.8,192.7,ohc,five,110,19,18920.0,pune,black
7,9,bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0,pune,black
8,10,bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0,pune,black
9,11,bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0,pune,black
10,13,bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0,pune,black
11,14,bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0,pune,black
12,15,bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0,pune,black
13,16,chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0,pune,black
14,17,chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0,pune,black
15,18,chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0,pune,black
16,19,dodge,hatchback,93.7,157.3,ohc,four,68,31,6377.0,pune,black
17,20,dodge,hatchback,93.7,157.3,ohc,four,68,31,6229.0,pune,black
18,27,honda,wagon,96.5,157.1,ohc,four,76,30,7295.0,pune,black
19,28,honda,sedan,96.5,175.4,ohc,four,101,24,12945.0,pune,black
20,29,honda,sedan,96.5,169.1,ohc,four,100,25,10345.0,pune,black
21,30,isuzu,sedan,94.3,170.7,ohc,four,78,24,6785.0,pune,black
22,31,isuzu,sedan,94.5,155.9,ohc,four,70,38,,pune,black
23,32,isuzu,sedan,94.5,155.9,ohc,four,70,38,,pune,black
24,33,jaguar,sedan,113.0,199.6,dohc,six,176,15,32250.0,pune,black
25,34,jaguar,sedan,113.0,199.6,dohc,six,176,15,35550.0,pune,black
26,35,jaguar,sedan,102.0,191.7,ohcv,twelve,262,13,36000.0,pune,black
27,36,mazda,hatchback,93.1,159.1,ohc,four,68,30,5195.0,pune,black
28,37,mazda,hatchback,93.1,159.1,ohc,four,68,31,6095.0,pune,black
29,38,mazda,hatchback,93.1,159.1,ohc,four,68,31,6795.0,pune,black
30,39,mazda,hatchback,95.3,169.0,rotor,two,101,17,11845.0,pune,black
31,43,mazda,sedan,104.9,175.0,ohc,four,72,31,18344.0,pune,black
32,44,mercedes-benz,sedan,110.0,190.9,ohc,five,123,22,25552.0,pune,black
33,45,mercedes-benz,wagon,110.0,190.9,ohc,five,123,22,28248.0,pune,black
34,46,mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14,40960.0,pune,black
35,47,mercedes-benz,hardtop,112.0,199.2,ohcv,eight,184,14,45400.0,pune,black
36,49,mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389.0,pune,black
37,50,mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189.0,pune,black
38,51,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989.0,pune,black
39,52,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189.0,pune,black
40,53,nissan,sedan,94.5,165.3,ohc,four,55,45,7099.0,pune,black
41,54,nissan,sedan,94.5,165.3,ohc,four,69,31,6649.0,pune,black
42,55,nissan,sedan,94.5,165.3,ohc,four,69,31,6849.0,pune,black
43,56,nissan,wagon,94.5,170.2,ohc,four,69,31,7349.0,pune,black
44,57,nissan,sedan,100.4,184.6,ohcv,six,152,19,13499.0,pune,black
45,61,porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028.0,pune,black
46,62,porsche,convertible,89.5,168.9,ohcf,six,207,17,37028.0,pune,black
47,63,porsche,hatchback,98.4,175.7,dohcv,eight,288,17,,pune,black
48,66,toyota,hatchback,95.7,158.7,ohc,four,62,35,5348.0,pune,black
49,67,toyota,hatchback,95.7,158.7,ohc,four,62,31,6338.0,pune,black
50,68,toyota,hatchback,95.7,158.7,ohc,four,62,31,6488.0,pune,black
51,69,toyota,wagon,95.7,169.7,ohc,four,62,31,6918.0,pune,black
52,70,toyota,wagon,95.7,169.7,ohc,four,62,27,7898.0,pune,black
53,71,toyota,wagon,95.7,169.7,ohc,four,62,27,8778.0,pune,black
54,79,toyota,wagon,104.5,187.8,dohc,six,156,19,15750.0,pune,black
55,80,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775.0,pune,black
56,81,volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975.0,pune,black
57,82,volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995.0,pune,black
58,86,volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995.0,pune,black
59,87,volvo,sedan,104.3,188.8,ohc,four,114,23,12940.0,pune,black
60,88,volvo,wagon,104.3,188.8,ohc,four,114,23,13415.0,pune,black
